schoolId,level,districtId,schoolName,distName,msaName,cityName,state,pop,minority_pop,minority_percent,neighbor_minority_percent,sci,type,compareMedian,lon,lat,radiusNeighbors,countNeighbors,allLevels
550960001179,1,5509600,Greenfield Bilingual,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,425,409,0.9623529411764706,0.9112016293279023,.0069751,tps,above,-87.958336,43.011916,1,6,1 2
550960001181,1,5509600,Hampton Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,199,174,0.8743718592964824,0.9485530546623794,.0016019,tps,above,-87.978234,43.109111,1,4,1
550960001183,1,5509600,Hartford Avenue Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,359,327,0.9108635097493036,0.5787598004276551,.004135,tps,above,-87.881965,43.077046,1,3,1 2
550960001184,1,5509600,Hawley Environmental School,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,325,251,0.7723076923076924,0.6452410383189122,.0005366,tps,below,-87.983555,43.039282,1,5,1
550960001185,1,5509600,Hawthorne Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,251,237,0.9442231075697212,0.8868778280542986,.0036869,tps,above,-87.963794,43.144033,1,3,1
550960001187,1,5509600,Hi-Mount Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,156,146,0.9358974358974359,0.7689265536723164,.002168,tps,above,-87.975448,43.058709,1,9,1 2
550960001188,1,5509600,Holmes Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,177,171,0.9661016949152542,0.8916900093370682,.002968,tps,above,-87.907182,43.063496,1,9,1 2
550960001190,1,5509600,Humboldt Park Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,330,93,0.2818181818181818,0.39371534195933455,.0159294,tps,below,-87.902356,42.985685,1,5,1 2
550960001191,1,5509600,Milwaukee Sign Language Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,316,279,0.8829113924050633,0.8320388349514564,.0028002,tps,above,-88.009702,43.13813,1,4,1 2
550960001195,1,5509600,Kagel Elementary,Milwaukee School District,Milwaukee-Waukesha-West Allis WI,Milwaukee,WI,227,217,0.9559471365638766,0.9536550406115624,.0035873,tps,above,-87.927346,43.021574,1,9,1
